Microsoft (R) COFF/PE Dumper Version 14.42.34436.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\Windows\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    E7035EBA time date stamp
        0.00 version
           8 ordinal base
        2491 number of functions
        2490 number of names

    ordinal hint RVA      name

        181   AC 0006B770 LdrUnloadAlternateResourceModule
        182   AD 0006B780 LdrUnloadAlternateResourceModuleEx
        183   AE 0002D360 LdrUnloadDll
        184   AF 00050EB0 LdrUnlockLoaderLock
        185   B0 000D9170 LdrUnregisterDllNotification
        186   B1 000845C0 LdrUpdatePackageSearchPath
        187   B2 000D9220 LdrVerifyImageMatchesChecksum
        188   B3 0008D7E0 LdrVerifyImageMatchesChecksumEx
        189   B4 000225B0 LdrpResGetMappingSize
        190   B5 00005FC0 LdrpResGetResourceDirectory
        191   B6 00123A40 MD4Final
        192   B7 00123B10 MD4Init
        193   B8 001240D0 MD4Update
        194   B9 00061C90 MD5Final
        195   BA 0007FEB0 MD5Init
        196   BB 00061D60 MD5Update
        197   BC 0007C540 MicrosoftTelemetryAssertTriggeredUM
        198   BD 00183878 NlsAnsiCodePage
        199   BE 00187970 NlsMbCodePageTag
        200   BF 00187760 NlsMbOemCodePageTag
        201   C0 000A03D0 NtAcceptConnectPort
        202   C1 000A0390 NtAccessCheck
        203   C2 000A08B0 NtAccessCheckAndAuditAlarm
        204   C3 000A0FE0 NtAccessCheckByType
        205   C4 000A0EB0 NtAccessCheckByTypeAndAuditAlarm
        206   C5 000A1000 NtAccessCheckByTypeResultList
        207   C6 000A1020 NtAccessCheckByTypeResultListAndAuditAlarm
        208   C7 000A1040 NtAccessCheckByTypeResultListAndAuditAlarmByHandle
        209   C8 000A1060 NtAcquireCrossVmMutant
        210   C9 000A1080 NtAcquireProcessActivityReference
        211   CA 000A0C70 NtAddAtom
        212   CB 000A10A0 NtAddAtomEx
        213   CC 000A10C0 NtAddBootEntry
        214   CD 000A10E0 NtAddDriverEntry
        215   CE 000A1100 NtAdjustGroupsToken
        216   CF 000A0BB0 NtAdjustPrivilegesToken
        217   D0 000A1120 NtAdjustTokenClaimsAndDeviceGroups
        218   D1 000A1140 NtAlertResumeThread
        219   D2 000A1160 NtAlertThread
        220   D3 000A1180 NtAlertThreadByThreadId
        221   D4 000A11A0 NtAllocateLocallyUniqueId
        222   D5 000A11C0 NtAllocateReserveObject
        223   D6 000A11E0 NtAllocateUserPhysicalPages
        224   D7 000A1200 NtAllocateUserPhysicalPagesEx
        225   D8 000A1220 NtAllocateUuids
        226   D9 000A0690 NtAllocateVirtualMemory
        227   DA 000A1240 NtAllocateVirtualMemoryEx
        228   DB 000A1260 NtAlpcAcceptConnectPort
        229   DC 000A1280 NtAlpcCancelMessage
        230   DD 000A12A0 NtAlpcConnectPort
        231   DE 000A12C0 NtAlpcConnectPortEx
        232   DF 000A12E0 NtAlpcCreatePort
        233   E0 000A1300 NtAlpcCreatePortSection
        234   E1 000A1320 NtAlpcCreateResourceReserve
        235   E2 000A1340 NtAlpcCreateSectionView
        236   E3 000A1360 NtAlpcCreateSecurityContext
        237   E4 000A1380 NtAlpcDeletePortSection
        238   E5 000A13A0 NtAlpcDeleteResourceReserve
        239   E6 000A13C0 NtAlpcDeleteSectionView
        240   E7 000A13E0 NtAlpcDeleteSecurityContext
        241   E8 000A1400 NtAlpcDisconnectPort
        242   E9 000A1420 NtAlpcImpersonateClientContainerOfPort
        243   EA 000A1440 NtAlpcImpersonateClientOfPort
        244   EB 000A1460 NtAlpcOpenSenderProcess
        245   EC 000A1480 NtAlpcOpenSenderThread
        246   ED 000A14A0 NtAlpcQueryInformation
        247   EE 000A14C0 NtAlpcQueryInformationMessage
        248   EF 000A14E0 NtAlpcRevokeSecurityContext
        249   F0 000A1500 NtAlpcSendWaitReceivePort
        250   F1 000A1520 NtAlpcSetInformation
        251   F2 000A0D10 NtApphelpCacheControl
        252   F3 000A1540 NtAreMappedFilesTheSame
        253   F4 000A1560 NtAssignProcessToJobObject
        254   F5 000A1580 NtAssociateWaitCompletionPacket
        255   F6 000A15A0 NtCallEnclave
        256   F7 000A0430 NtCallbackReturn
        257   F8 000A0F20 NtCancelIoFile
        258   F9 000A15C0 NtCancelIoFileEx
        259   FA 000A15E0 NtCancelSynchronousIoFile
        260   FB 000A0FA0 NtCancelTimer
        261   FC 000A1600 NtCancelTimer2
        262   FD 000A1620 NtCancelWaitCompletionPacket
        263   FE 000A1640 NtChangeProcessState
        264   FF 000A1660 NtChangeThreadState
        265  100 000A0B50 NtClearEvent
        266  101 000A0570 NtClose
        267  102 000A0AF0 NtCloseObjectAuditAlarm
        268  103 000A1680 NtCommitComplete
        269  104 000A16A0 NtCommitEnlistment
        270  105 000A16C0 NtCommitRegistryTransaction
        271  106 000A16E0 NtCommitTransaction
        272  107 000A1700 NtCompactKeys
        273  108 000A1720 NtCompareObjects
        274  109 000A1740 NtCompareSigningLevels
        275  10A 000A1760 NtCompareTokens
        276  10B 000A1780 NtCompleteConnectPort
        277  10C 000A17A0 NtCompressKey
        278  10D 000A17C0 NtConnectPort
        279  10E 000A0BF0 NtContinue
        280  10F 000A17E0 NtContinueEx
        281  110 000A1800 NtConvertBetweenAuxiliaryCounterAndPerformanceCounter
        282  111 000A1820 NtCopyFileChunk
        283  112 000A1840 NtCreateCpuPartition
        284  113 000A1860 NtCreateCrossVmEvent
        285  114 000A1880 NtCreateCrossVmMutant
        286  115 000A18A0 NtCreateDebugObject
        287  116 000A18C0 NtCreateDirectoryObject
        288  117 000A18E0 NtCreateDirectoryObjectEx
        289  118 000A1900 NtCreateEnclave
        290  119 000A1920 NtCreateEnlistment
        291  11A 000A0C90 NtCreateEvent
        292  11B 000A1940 NtCreateEventPair
        293  11C 000A0E30 NtCreateFile
        294  11D 000A1960 NtCreateIRTimer
        295  11E 000A1980 NtCreateIoCompletion
        296  11F 000A19A0 NtCreateIoRing
        297  120 000A19C0 NtCreateJobObject
        298  121 000A19E0 NtCreateJobSet
        299  122 000A0730 NtCreateKey
        300  123 000A1A00 NtCreateKeyTransacted
        301  124 000A1A20 NtCreateKeyedEvent
        302  125 000A1A40 NtCreateLowBoxToken
        303  126 000A1A60 NtCreateMailslotFile
        304  127 000A1A80 NtCreateMutant
        305  128 000A1AA0 NtCreateNamedPipeFile
        306  129 000A1AC0 NtCreatePagingFile
        307  12A 000A1AE0 NtCreatePartition
        308  12B 000A1B00 NtCreatePort
        309  12C 000A1B20 NtCreatePrivateNamespace
        310  12D 000A1B40 NtCreateProcess
        311  12E 000A0D30 NtCreateProcessEx
        312  12F 000A1B60 NtCreateProcessStateChange
        313  130 000A1B80 NtCreateProfile
        314  131 000A1BA0 NtCreateProfileEx
        315  132 000A1BC0 NtCreateRegistryTransaction
        316  133 000A1BE0 NtCreateResourceManager
        317  134 000A0CD0 NtCreateSection
        318  135 000A1C00 NtCreateSectionEx
        319  136 000A1C20 NtCreateSemaphore
        320  137 000A1C40 NtCreateSymbolicLinkObject
        321  138 000A0D50 NtCreateThread
        322  139 000A1C60 NtCreateThreadEx
        323  13A 000A1C80 NtCreateThreadStateChange
        324  13B 000A1CA0 NtCreateTimer
        325  13C 000A1CC0 NtCreateTimer2
        326  13D 000A1CE0 NtCreateToken
        327  13E 000A1D00 NtCreateTokenEx
        328  13F 000A1D20 NtCreateTransaction
        329  140 000A1D40 NtCreateTransactionManager
        330  141 000A1D60 NtCreateUserProcess
        331  142 000A1D80 NtCreateWaitCompletionPacket
        332  143 000A1DA0 NtCreateWaitablePort
        333  144 000A1DC0 NtCreateWnfStateName
        334  145 000A1DE0 NtCreateWorkerFactory
        335  146 000A1E00 NtDebugActiveProcess
        336  147 000A1E20 NtDebugContinue
        337  148 000A0A10 NtDelayExecution
        338  149 000A1E40 NtDeleteAtom
        339  14A 000A1E60 NtDeleteBootEntry
        340  14B 000A1E80 NtDeleteDriverEntry
        341  14C 000A1EA0 NtDeleteFile
        342  14D 000A1EC0 NtDeleteKey
        343  14E 000A1EE0 NtDeleteObjectAuditAlarm
        344  14F 000A1F00 NtDeletePrivateNamespace
        345  150 000A1F20 NtDeleteValueKey
        346  151 000A1F40 NtDeleteWnfStateData
        347  152 000A1F60 NtDeleteWnfStateName
        348  153 000A0470 NtDeviceIoControlFile
        349  154 000A1F80 NtDirectGraphicsCall
        350  155 000A1FA0 NtDisableLastKnownGood
        351  156 000A1FC0 NtDisplayString
        352  157 000A1FE0 NtDrawText
        353  158 000A0B10 NtDuplicateObject
        354  159 000A0BD0 NtDuplicateToken
        355  15A 000A2000 NtEnableLastKnownGood
        356  15B 000A2020 NtEnumerateBootEntries
        357  15C 000A2040 NtEnumerateDriverEntries
        358  15D 000A09D0 NtEnumerateKey
        359  15E 000A2060 NtEnumerateSystemEnvironmentValuesEx
        360  15F 000A2080 NtEnumerateTransactionObject
        361  160 000A05F0 NtEnumerateValueKey
        362  161 000A20A0 NtExtendSection
        363  162 000A20C0 NtFilterBootOption
        364  163 000A20E0 NtFilterToken
        365  164 000A2100 NtFilterTokenEx
        366  165 000A0610 NtFindAtom
        367  166 000A0CF0 NtFlushBuffersFile
        368  167 000A2120 NtFlushBuffersFileEx
        369  168 000A2140 NtFlushInstallUILanguage
        370  169 000A2160 NtFlushInstructionCache
        371  16A 000A2180 NtFlushKey
        372  16B 000A21A0 NtFlushProcessWriteBuffers
        373  16C 000A21C0 NtFlushVirtualMemory
        374  16D 000A21E0 NtFlushWriteBuffer
        375  16E 000A2200 NtFreeUserPhysicalPages
        376  16F 000A0750 NtFreeVirtualMemory
        377  170 000A2220 NtFreezeRegistry
        378  171 000A2240 NtFreezeTransactions
        379  172 000A0AB0 NtFsControlFile
        380  173 000A2260 NtGetCachedSigningLevel
        381  174 000A2280 NtGetCompleteWnfStateSubscription
        382  175 000A22A0 NtGetContextThread
        383  176 000A22C0 NtGetCurrentProcessorNumber
        384  177 000A22E0 NtGetCurrentProcessorNumberEx
        385  178 000A2300 NtGetDevicePowerState
        386  179 000A2320 NtGetMUIRegistryInfo
        387  17A 000A2340 NtGetNextProcess
        388  17B 000A2360 NtGetNextThread
        389  17C 000A2380 NtGetNlsSectionPtr
        390  17D 000A23A0 NtGetNotificationResourceManager
        391  17E 000F0D40 NtGetTickCount
        392  17F 000A23C0 NtGetWriteWatch
        393  180 000A23E0 NtImpersonateAnonymousToken
        394  181 000A0770 NtImpersonateClientOfPort
        395  182 000A2400 NtImpersonateThread
        396  183 000A2420 NtInitializeEnclave
        397  184 000A2440 NtInitializeNlsFiles
        398  185 000A2460 NtInitializeRegistry
        399  186 000A2480 NtInitiatePowerAction
        400  187 000A0D70 NtIsProcessInJob
        401  188 000A24A0 NtIsSystemResumeAutomatic
        402  189 000A24C0 NtIsUILanguageComitted
        403  18A 000A24E0 NtListenPort
        404  18B 000A2500 NtLoadDriver
        405  18C 000A2520 NtLoadEnclaveData
        406  18D 000A2540 NtLoadKey
        407  18E 000A2560 NtLoadKey2
        408  18F 000A2580 NtLoadKey3
        409  190 000A25A0 NtLoadKeyEx
        410  191 000A25C0 NtLockFile
        411  192 000A25E0 NtLockProductActivationKeys
        412  193 000A2600 NtLockRegistryKey
        413  194 000A2620 NtLockVirtualMemory
        414  195 000A2640 NtMakePermanentObject
        415  196 000A2660 NtMakeTemporaryObject
        416  197 000A2680 NtManageHotPatch
        417  198 000A26A0 NtManagePartition
        418  199 000A26C0 NtMapCMFModule
        419  19A 000A26E0 NtMapUserPhysicalPages
        420  19B 000A03F0 NtMapUserPhysicalPagesScatter
        421  19C 000A0890 NtMapViewOfSection
        422  19D 000A2700 NtMapViewOfSectionEx
        423  19E 000A2720 NtModifyBootEntry
        424  19F 000A2740 NtModifyDriverEntry
        425  1A0 000A2760 NtNotifyChangeDirectoryFile
        426  1A1 000A2780 NtNotifyChangeDirectoryFileEx
        427  1A2 000A27A0 NtNotifyChangeKey
        428  1A3 000A27C0 NtNotifyChangeMultipleKeys
        429  1A4 000A27E0 NtNotifyChangeSession
        430  1A5 000A2800 NtOpenCpuPartition
        431  1A6 000A0E90 NtOpenDirectoryObject
        432  1A7 000A2820 NtOpenEnlistment
        433  1A8 000A0B90 NtOpenEvent
        434  1A9 000A2840 NtOpenEventPair
        435  1AA 000A09F0 NtOpenFile
        436  1AB 000A2860 NtOpenIoCompletion
        437  1AC 000A2880 NtOpenJobObject
        438  1AD 000A05D0 NtOpenKey
        439  1AE 000A28A0 NtOpenKeyEx
        440  1AF 000A28C0 NtOpenKeyTransacted
        441  1B0 000A28E0 NtOpenKeyTransactedEx
        442  1B1 000A2900 NtOpenKeyedEvent
        443  1B2 000A2920 NtOpenMutant
        444  1B3 000A2940 NtOpenObjectAuditAlarm
        445  1B4 000A2960 NtOpenPartition
        446  1B5 000A2980 NtOpenPrivateNamespace
        447  1B6 000A0850 NtOpenProcess
        448  1B7 000A29A0 NtOpenProcessToken
        449  1B8 000A0990 NtOpenProcessTokenEx
        450  1B9 000A29C0 NtOpenRegistryTransaction
        451  1BA 000A29E0 NtOpenResourceManager
        452  1BB 000A0A70 NtOpenSection
        453  1BC 000A2A00 NtOpenSemaphore
        454  1BD 000A2A20 NtOpenSession
        455  1BE 000A2A40 NtOpenSymbolicLinkObject
        456  1BF 000A2A60 NtOpenThread
        457  1C0 000A0810 NtOpenThreadToken
        458  1C1 000A0970 NtOpenThreadTokenEx
        459  1C2 000A2A80 NtOpenTimer
        460  1C3 000A2AA0 NtOpenTransaction
        461  1C4 000A2AC0 NtOpenTransactionManager
        462  1C5 000A2AE0 NtPlugPlayControl
        463  1C6 000A0F60 NtPowerInformation
        464  1C7 000A2B00 NtPrePrepareComplete
        465  1C8 000A2B20 NtPrePrepareEnlistment
        466  1C9 000A2B40 NtPrepareComplete
        467  1CA 000A2B60 NtPrepareEnlistment
        468  1CB 000A2B80 NtPrivilegeCheck
        469  1CC 000A2BA0 NtPrivilegeObjectAuditAlarm
        470  1CD 000A2BC0 NtPrivilegedServiceAuditAlarm
        471  1CE 000A2BE0 NtPropagationComplete
        472  1CF 000A2C00 NtPropagationFailed
        473  1D0 000A0D90 NtProtectVirtualMemory
        474  1D1 000A2C20 NtPssCaptureVaSpaceBulk
        475  1D2 000A2C40 NtPulseEvent
        476  1D3 000A0B30 NtQueryAttributesFile
        477  1D4 000A2C60 NtQueryAuxiliaryCounterFrequency
        478  1D5 000A2C80 NtQueryBootEntryOrder
        479  1D6 000A2CA0 NtQueryBootOptions
        480  1D7 000A2CC0 NtQueryDebugFilterState
        481  1D8 000A0630 NtQueryDefaultLocale
        482  1D9 000A0C10 NtQueryDefaultUILanguage
        483  1DA 000A0A30 NtQueryDirectoryFile
        484  1DB 000A2CE0 NtQueryDirectoryFileEx
        485  1DC 000A2D00 NtQueryDirectoryObject
        486  1DD 000A2D20 NtQueryDriverEntryOrder
        487  1DE 000A2D40 NtQueryEaFile
        488  1DF 000A0E50 NtQueryEvent
        489  1E0 000A2D60 NtQueryFullAttributesFile
        490  1E1 000A2D80 NtQueryInformationAtom
        491  1E2 000A2DA0 NtQueryInformationByName
        492  1E3 000A2DC0 NtQueryInformationCpuPartition
        493  1E4 000A2DE0 NtQueryInformationEnlistment
        494  1E5 000A05B0 NtQueryInformationFile
        495  1E6 000A2E00 NtQueryInformationJobObject
        496  1E7 000A2E20 NtQueryInformationPort
        497  1E8 000A06B0 NtQueryInformationProcess
        498  1E9 000A2E40 NtQueryInformationResourceManager
        499  1EA 000A0830 NtQueryInformationThread
        500  1EB 000A07B0 NtQueryInformationToken
        501  1EC 000A2E60 NtQueryInformationTransaction
        502  1ED 000A2E80 NtQueryInformationTransactionManager
        503  1EE 000A2EA0 NtQueryInformationWorkerFactory
        504  1EF 000A2EC0 NtQueryInstallUILanguage
        505  1F0 000A2EE0 NtQueryIntervalProfile
        506  1F1 000A2F00 NtQueryIoCompletion
        507  1F2 000A2F20 NtQueryIoRingCapabilities
        508  1F3 000A0650 NtQueryKey
        509  1F4 000A2F40 NtQueryLicenseValue
        510  1F5 000A2F60 NtQueryMultipleValueKey
        511  1F6 000A2F80 NtQueryMutant
        512  1F7 000A0590 NtQueryObject
        513  1F8 000A2FA0 NtQueryOpenSubKeys
        514  1F9 000A2FC0 NtQueryOpenSubKeysEx
        515  1FA 000A09B0 NtQueryPerformanceCounter
        516  1FB 000A2FE0 NtQueryPortInformationProcess
        517  1FC 000A3000 NtQueryQuotaInformationFile
        518  1FD 000A0DB0 NtQuerySection
        519  1FE 000A3020 NtQuerySecurityAttributesToken
        520  1FF 000A3040 NtQuerySecurityObject
        521  200 000A3060 NtQuerySecurityPolicy
        522  201 000A3080 NtQuerySemaphore
        523  202 000A30A0 NtQuerySymbolicLinkObject
        524  203 000A30C0 NtQuerySystemEnvironmentValue
        525  204 000A30E0 NtQuerySystemEnvironmentValueEx
        526  205 000A0A50 NtQuerySystemInformation
        527  206 000A3100 NtQuerySystemInformationEx
        528  207 000A0ED0 NtQuerySystemTime
        529  208 000A0A90 NtQueryTimer
        530  209 000A3120 NtQueryTimerResolution
        531  20A 000A0670 NtQueryValueKey
        532  20B 000A07F0 NtQueryVirtualMemory
        533  20C 000A0CB0 NtQueryVolumeInformationFile
        534  20D 000A3140 NtQueryWnfStateData
        535  20E 000A3160 NtQueryWnfStateNameInformation
        536  20F 000A0C30 NtQueueApcThread
        537  210 000A3180 NtQueueApcThreadEx
        538  211 000A31A0 NtQueueApcThreadEx2
        539  212 000A31C0 NtRaiseException
        540  213 000A31E0 NtRaiseHardError
        541  214 000A0450 NtReadFile
        542  215 000A0950 NtReadFileScatter
        543  216 000A3200 NtReadOnlyEnlistment
        544  217 000A0E10 NtReadRequestData
        545  218 000A0B70 NtReadVirtualMemory
        546  219 000A3220 NtReadVirtualMemoryEx
        547  21A 000A3240 NtRecoverEnlistment
        548  21B 000A3260 NtRecoverResourceManager
        549  21C 000A3280 NtRecoverTransactionManager
        550  21D 000A32A0 NtRegisterProtocolAddressInformation
        551  21E 000A32C0 NtRegisterThreadTerminatePort
        552  21F 000A32E0 NtReleaseKeyedEvent
        553  220 000A0790 NtReleaseMutant
        554  221 000A04D0 NtReleaseSemaphore
        555  222 000A3300 NtReleaseWorkerFactoryWorker
        556  223 000A04B0 NtRemoveIoCompletion
        557  224 000A3320 NtRemoveIoCompletionEx
        558  225 000A3340 NtRemoveProcessDebug
        559  226 000A3360 NtRenameKey
        560  227 000A3380 NtRenameTransactionManager
        561  228 000A33A0 NtReplaceKey
        562  229 000A33C0 NtReplacePartitionUnit
        563  22A 000A0510 NtReplyPort
        564  22B 000A04F0 NtReplyWaitReceivePort
